Name,Online_Order,Book_Table,Ratings,Dish_Liked,Approx_Cost(For Two People)
Peppy Peppers,No,No,4.2,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup",800
Goa 0 Km,Yes,Yes,3.6,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken",800
Chinese Kitchen,Yes,No,3.8,Unknown,150
1947,No,Yes,4.0,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup",850
Cake of the Day,No,No,3.7,Unknown,150
Kabab Magic,Yes,No,4.1,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls",400
Namma Brahmin's Idli,Yes,No,3.6,Unknown,100
Gustoes Beer House,No,No,4.1,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings",1200
Sugar Rush,No,No,3.8,Unknown,300
Burger King,Yes,No,3.2,"Burgers, Chicken Tandoori Grill Burger, Cheesy Chicken Fries, Chicken Whopper, Whopper Burger, Tandoor Chicken Burger, Mutton Whopper",600
The Good Bowl,Yes,No,3.6,Omelette,500
The Biryani Cafe,No,No,4.1,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani",300
Spicy Tandoor,No,No,2.7,Unknown,150
LSD Cafe,No,No,2.9,Unknown,700
Rolls On Wheels,No,No,3.6,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll",300
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",150
Devanna Dum Biriyani Centre,Yes,No,3.6,Unknown,300
Kolbeh,No,No,3.7,Unknown,500
Upahar Sagar,No,No,3.8,Masala Dosa,350
Kadalu Sea Food Restaurant,Yes,No,3.8,Unknown,500
Frozen Bottle,Yes,No,4.2,"Berryblast, Waffles, Cheesecake, Salted Caramel",400
Parimala Sweets,No,No,3.5,Unknown,200
Vaishali Deluxe,No,No,3.8,Unknown,700
Chill Out,No,No,3.4,Unknown,100
The Big O Bakes,No,No,4.0,Unknown,300
Meghana Foods,Yes,No,4.4,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita",600
Krishna Sagar,No,No,3.5,Masala Dosa,200
Dessert Rose,No,No,3.5,Unknown,500
Chickpet Donne Biryani House,No,No,3.7,"Mutton Biryani, Donne Biryani, Mutton Fry, Chicken Guntur, Chicken Biryani",250
Me And My Cake,No,No,3.25,Unknown,500
Thanco's Natural Ice Creams,No,No,3.2,Belgian Chocolate,300
Nandhini Deluxe,No,No,2.6,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",600
Vi Ra's Bar and Restaurant,No,No,3.3,Chilli Chicken,800
Kaggis,No,No,3.8,Unknown,250
Ayda Persian Kitchen,No,No,3.7,"Roti, Naan, Butter Chicken, Biryani, Saffron Rice, Mutton Kebab, Lassi",950
Chatar Patar,No,No,3.7,"Panipuri, Chaat, Noodles, Dahi Bhalle",300
Polar Bear,Yes,No,3.8,Hot Chocolate Fudge,400
Kidambi's Kitchen,No,No,3.5,Rooftop Ambience,300
Mane Thindi,No,No,3.7,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",200
Kotian Karavali Restaurant,No,No,3.5,Unknown,300
Floured-Baked With Love,No,No,3.8,"Cup Cake, Chocolate Cake",400
Cakes & Slices,No,No,3.5,Unknown,300
Spice 9,No,No,3.4,Unknown,300
Naveen Kabab & Biriyani Mane,No,No,3.2,Unknown,300
Katriguppe Donne Biryani,No,No,3.2,Unknown,300
Hari Super Sandwich,No,No,4.0,"Chocolate Sandwich, Chaat, Corn Sandwich, Chilli Cheese, Cheese Sandwiches, Veg Sandwich",200
Atithi Point Ande Ka Funda,No,No,3.1,Unknown,150
Just Bake,No,No,3.4,"Coffee, Cup Cake",400
Kulfi & More,No,No,3.6,"Faluda, Rabri, Malai Kulfi",150
K27 - The Pub,No,No,3.1,Unknown,1000
Bengaluru Coffee House,Yes,No,4.1,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli",300
New Mangalore Lunch Home,No,No,3.3,Unknown,200
Coffee Bytes,No,No,3.1,Unknown,100
Parjanya Chat Zone,No,No,3.3,Unknown,200
Kwality Wall's Swirl's Happiness Station,No,No,2.9,Unknown,200
Banashankari Nati Style,No,No,3.6,Unknown,350
Ruchi Maayaka,No,No,3.3,Unknown,100
Aramane Donne Biriyani,No,No,3.9,"Egg Biryani, Donne Biryani",150
Melting Melodies,No,No,3.5,Unknown,100
Anna Kuteera,Yes,No,4.0,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa",450
Darbar,No,No,3.0,"Paneer Tikka, Dal Kichadi, French Fries",800
Vijayalakshmi,Yes,No,3.9,Unknown,200
Sri Udupi Food Hub,Yes,Yes,4.1,"Filter Coffee, Masala Dosa, Idli, Vada",500
Udupi Upahar,Yes,No,3.8,Unknown,300
House Of Kebabs,Yes,No,3.8,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice",650
Roll N Rock,Yes,No,3.8,"Rolls, Paratha, Chicken Biryani",400
BOX8- Desi Meals,Yes,No,4.1,"Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad",500
KFC,Yes,No,3.8,"Burgers, French Fries",450
Roll Over,Yes,No,4.1,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie",500
Imperial Restaurant,Yes,No,3.7,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken",750
Lassi Shop,Yes,No,3.9,"Faluda, Sweet Lassi, Mango Lassi, Malai Kulfi",150
The Fortuna,Yes,No,3.0,Unknown,250
Wahab,Yes,No,3.7,"Chicken Biryani, Rolls",350
Al Diwan Biryanis And More,Yes,No,3.3,Unknown,300
New Gowda's Fried Chicken,Yes,No,3.3,Unknown,300
Canton,Yes,No,3.6,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop",800
Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3,Unknown,300
The Blue Wagon - Kitchen,Yes,No,4.6,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich",400
HOT COFFEE,Yes,No,4.1,Unknown,150
Patio 805,Yes,Yes,4.1,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad",1200
Lassi Corner,Yes,No,3.7,Lassi,150
Sagar Deluxe,Yes,No,3.2,"Coffee, Chaat",300
Kanti Sweets,Yes,No,4.0,"Rasmalai, Gulab Jamun, Pav Bhaji, Chaat, Sev Puri, Kaju Katli",400
Vegetalia,Yes,No,3.7,Unknown,400
Aramane Donne Biryani,Yes,No,3.5,Unknown,200
Ande Ka Funda,Yes,No,3.8,Paratha,250
Cake Ghar,Yes,No,3.8,Unknown,400
Energy Addaa,Yes,No,4.2,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti",500
Bhattara Bhojana,Yes,No,3.6,Unknown,150
Tandoori Knight,Yes,No,3.0,"Chicken Grill, Biryani, Roti, Chicken Masala",450
Dev Sagar - Food Street,Yes,No,4.1,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",200
Mitraa Da Pizza,Yes,No,3.8,"Pizza, Burgers",250
Paradise Premium,Yes,No,3.1,Unknown,700
Grazers,Yes,Yes,3.9,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges",650
Shakes Theory,Yes,No,4.5,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri",300
@Italy,Yes,No,4.1,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",700
Chilli Flakes,Yes,No,3.6,Unknown,500
Calcutta Cafe,Yes,No,3.5,Unknown,350
Old Mumbai Ice Cream,Yes,No,3.9,Friendly Staff,150
Donne Biriyani House,Yes,No,3.9,Biryani,400
By 2 Coffee,Yes,No,3.9,"Filter Coffee, Kharabath, Masala Dosa, Tea, Idli Vada, Kesari Bath",100
Kedia's Fun Food,Yes,No,4.3,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla",200
Davangere Butter Dosa Hotel,Yes,No,3.8,Unknown,150
Just Shawarma,Yes,No,3.9,"Whole Meat Shawarma, Fries",300
Mini Punjabi Dhaba,Yes,No,4.2,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",350
Mulabagilu Dosa,Yes,No,3.6,Unknown,100
Gokul Veg,Yes,No,3.8,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti",750
Olive - Era,Yes,No,3.3,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita",550
Udupi Ruchi,Yes,No,3.9,"Tea, Biryani",200
Madhappa Hindu Military Hotel,Yes,No,3.4,Unknown,300
Gama Gama,Yes,No,3.9,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",200
Pizza Hut,Yes,No,3.8,"Supreme Pizza, Potato Wedges, Masala Lemonade, Tandoori Paneer, Exotic Garlic Bread",750
Mangalore Pearl,Yes,No,3.8,"Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish",650
Asha Sweets Centre,Yes,No,3.6,"Badam Milk, Kaju Barfi, Kachori, Rabri, Malpua",250
Twiststick House,Yes,No,4.1,"White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav",500
Cool Corner,Yes,No,4.2,"Masala Dosa, Sandwiches, Coffee, Onion Dosa, Rava Dosa, Chaat, Sandwich",250
Pizza Mane,Yes,No,3.5,"French Fries, Burgers",150
Dal Tadkaa,Yes,No,2.5,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",500
Chutney Chang,Yes,Yes,4.1,"Veg Momos, Brownie Chocolate, Palak Chaat, Mutton Biryani, Dahipuri, Fish, Sea Food",1500
Mystique Palate,Yes,No,4.1,"Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries",300
Thamboola,Yes,No,3.9,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala",800
Castle Rock,Yes,No,3.6,Biryani,700
Vietnamese Kitchen,Yes,No,3.6,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",700
C Corner,Yes,No,3.2,Unknown,200
Paratha Merchant,Yes,No,3.1,Unknown,300
North Rasoe,Yes,No,3.1,Unknown,500
Inchara Restaurant,Yes,No,3.4,"Biryani, Fish",300
Toscano,Yes,Yes,4.3,"Pizza, Pasta, Salads, Calamari, Ravioli, Pumpkin Soup, Wine",1300
Lord Of The Kitchen,Yes,No,3.9,Unknown,350
Stoned Monkey,Yes,No,4.3,"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu",500
Central Jail Restaurant,Yes,No,3.8,"Lime Soda, Manchow Soup, Biryani, Lemon Chicken, Tomato Soup, Butter Naan, Chilli Chicken",700
Bella,Yes,Yes,3.9,"Murgh Ghee Roast, Fish Fry, Ghee Roast Paneer, Neer Dosa, Appam, Sea Food, Chicken Sukha",1000
Vennela Andhra Meals,Yes,No,3.0,Unknown,400
New Prashanth Hotel,Yes,No,3.6,"Ragi Mudde, Lemon Chicken, Chilli Chicken, Chicken Curry, Mutton Chops, Mutton Biryani",750
The Grillo,Yes,Yes,2.8,Unknown,500
Re Malnad Nati Style Hotel,Yes,No,3.6,Unknown,400
Karma Kaapi,Yes,No,4.4,"Pasta, Potato Fries, Potato Wedges, Hot Chocolate, Chaat, Filter Coffee, Americano",250
Tiwari's,Yes,No,3.8,"Sweet Lassi, Gulab Jamun, Palak Paneer Paratha, Paneer Parantha",200
Pizza Stop,Yes,No,3.8,"Pizza, White Sauce Pasta, Masala Garlic Bread",600
Biggies Burger 'n' More,Yes,No,3.6,"Burgers, Fries, Mojito, Chicken Burger",650
Kollapuri's,No,No,3.9,"Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry",450
Bombay Kulfis,No,No,3.6,"Malai Kulfi, Kesar Pista",200
Kadamba Classic,No,No,3.6,Unknown,300
RS Shiv Sagar,No,No,3.7,"Chaat, Brownie, Onion Rings, Tomato Soup, Paneer Manchurian, Thali, Faluda",450
Kholi Mane,No,No,3.6,Unknown,450
Harshi Super Sandwich,No,No,3.8,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich",150
Cake Yard,No,No,3.4,Unknown,250
Sri Udupi Veg,No,No,3.3,Unknown,250
Cake Art,No,No,3.5,Unknown,400
Potato House,Yes,No,3.4,Unknown,200
Matru Sagar,Yes,No,3.7,"Vada, Butter Masala Dosa, Coffee",300
Ugadi,Yes,No,2.9,"Prawn Biryani, Andhra Meal, Veg Thali, Fry Piece Biryani, Gongura Chicken, Paratha",700
Sri Krishna Sweets,Yes,No,3.7,Unknown,250
In Time Cane Juice,Yes,No,3.5,Unknown,100
Subway,Yes,No,3.7,"Veggie Delight, Paneer Tikka, Salad",600
Daal Roti,Yes,No,2.9,Unknown,250
The Lassi Park,Yes,No,4.1,"Faluda, Brownie, Sandwich, Kulfi, Fruit Salad, Sweet Lassi, Chocolate Fudge",200
Cafe Coffee Day,Yes,No,3.2,Cappuccino,900
A2B - Adyar Ananda Bhavan,Yes,No,3.8,"Pav Bhaji, Masala Dosa, Idli Vada, Filter Coffee, Pongal, Curd Rice, Kesari Bath",400
Srikrishna Bhavan,Yes,No,3.8,"Roti, Masala Dosa",300
Green Gardenia,Yes,No,3.8,"Masala Papad, Paneer Satay, Paneer Hyderabadi, Butter Naan, Roti",700
J Spice,Yes,No,3.8,"Stuffed Mushroom, Chicken Biryani, Jal-jeera",750
Karavali Family Restaurant,Yes,No,3.5,Unknown,500
Karavali Lunch Home,Yes,No,3.7,"Neer Dosa, Fish Curry, Chicken Sukha, Rawas Fry, Thali, Fish Rava Fry",350
Hatti Kaapi,Yes,No,4.0,"Filter Coffee, Tea, Hot Coffee, Hatti Samosa",200
Kolkata Kathi Roll's,Yes,No,3.6,Unknown,250
Upahara Darshini,Yes,No,3.9,Masala Dosa,600
The Chaat Shop,Yes,No,2.5,"Badam Milk, Potato Twister, Pav Bhaji, Panipuri, Tikki Chaat, Cheese Cutlet",200
Anda Ka Funda,Yes,No,3.4,"Paratha, Rolls, Roti",250
Shri Vinayaka Ice N Juice,Yes,No,3.2,Unknown,150
Ibaco,Yes,No,3.9,Icecream Cake,300
Jalaram Sweets,Yes,No,3.8,Unknown,250
Samskruti - Sanman Gardenia,Yes,No,4.1,"Roti, Butter Kulcha, Fried Rice, Tomato Soup, Curd Rice, Lunch Buffet, Paneer Tikka",550
Bendakaluru Bytes,Yes,No,3.2,Unknown,300
Cocoa Bakes,Yes,No,3.6,Unknown,350
Chumma Delicious,Yes,No,3.7,Chicken Biryani,200
New Prashanth Hotel,Yes,No,3.9,"Chicken Biryani, Ragi Mudde, Mutton Chops",650
Dwaraka Grand,Yes,No,3.9,"Masala Dosa, Coffee",500
Gufha - The President Hotel,Yes,Yes,4.1,"Cocktails, Paneer Tikka, Rasmalai, Rabri, Masala Papad, Vegetable Biryani, Chicken Curry",1200
Tanna's Kitchen,Yes,No,3.1,Unknown,250
Shree Mandarathi Grand,Yes,No,3.7,Unknown,400
Mojo Pizza - 2X Toppings,Yes,No,4.2,"Veggie Pizza, Garlic Bread, Lava Cake, Chocolava, Spicy Paneer",600
Iceberg Icecreams,Yes,No,4.0,Unknown,250
South Kitchen,Yes,No,4.3,"Kharabath, Crispy Vada, Filter Coffee, Idli Vada, Idli Chutney, Kesari Bath, Gulab Jamun",100
Chung Wah,Yes,No,3.7,"Noodles, Veg Momos, Chowmein, Schezwan Fried Rice, Clear Soup, Sweet Corn Soup, Chicken Wings",850
Shanthi Sagar,Yes,No,3.1,"Coffee, Roti, Vada Pav",400
Millet Mama,Yes,No,3.9,Unknown,200
Bangarpet Chat Express,Yes,No,3.3,Unknown,100
Prems Graama Bhojanam,Yes,No,4.3,"Veg Thali, Matka Kulfi, Pongal, Buttermilk, Vada, Ragi Mudde, Curd Rice",400
Java City,Yes,No,2.6,"Coffee, Sandwich, Hot Chocolate, Ice Tea, Sandwiches, Chicken Lasagne, Pizza",450
Kamat Bugle Rock,Yes,No,3.9,"Jowar Roti, Buttermilk, Jolada Rotti, Brinjal Curry, Coffee, Pongal, Vegetable Biryani",300
Puliyogare Point,Yes,No,4.2,"Sweet Pongal, Mini Idlis, Filter Coffee, Open Masala Dosa, Pakoda, Vada, Raagi Dosa",100
Bangalore Agarwal Bhavan,Yes,No,3.9,"Paratha, Coffee, Halwa, Lassi",400
Rustic Stove,Yes,No,3.8,"Vegetable Biryani, Pineapple Rasam, Cheese Garlic Naan, Potato Cheese Ball, Bamboo Chicken Biryani, Chicken Skewer, Fish",900
Udupi Ruchi Grand,Yes,No,4.2,Unknown,200
De Thaali,Yes,No,3.9,"Malai Kofta, Sandwich, Naan",550
Just Thindi,Yes,No,3.6,Unknown,200
Matru Sagar,Yes,No,3.6,"Coffee, Masala Dosa",250
Vasanth Vihar - Since 1965,Yes,No,3.6,Unknown,150
Sea Spice by 7 Star,Yes,Yes,4.0,"Sea Food, Neer Dosa, Anjal Masala Fry, Coconut Pudding, Chicken Biryani, Roti, Fish Curry",1200
Desi Dawat,Yes,No,3.7,"Tandoori Chicken, Rolls",400
Cafe Aira,Yes,No,4.1,"Pasta, Nachos, Jalapeno Poppers, Burrito Bowl, Ferrero Rocher Shake, Falafal Sandwich, Banana Waffles",500
Mast Punjabi,Yes,No,2.6,Aloo Paratha,400
South Grand,Yes,No,3.4,Rava Dosa,400
The Pizzeria,Yes,No,2.8,Pesto Pizza,800
Cafe Zone,Yes,No,3.9,Unknown,300
Ruchis Point,Yes,No,3.8,"Sandwiches, Noodles, Sandwich",200
Firangi Bake,Yes,No,4.0,"Lasagne, Steak, Masala Quesadilla, Garlic Bread",600
The Royal Corner - Pai Viceroy,Yes,Yes,4.2,"Breakfast Buffet, Kulcha, Almond Soup, Lunch Buffet, Roti, Mocktails, Vegetarian",900
Hara Fine Dine,Yes,Yes,4.0,"Hara Bhara Kabab, Crispy Corn, Patiala Paneer, Panneer Butter Masala, Dum Biryani, Jal-jeera, Butter Naan",800
Chocoberry,Yes,No,3.5,"Waffles, Cup Cake, Chocolate Cake",400
Dakshin Grand,Yes,No,3.0,Unknown,300
Sandwichwallas,Yes,No,3.7,"Garlic Bread, Sandwiches, Aloo Tikki Burger, Club Sandwich, White Sauce Pasta, Garlic Rice",200
Chai Mane,Yes,No,3.6,Unknown,150
SLV Upachar,Yes,No,3.1,Unknown,250
Waffle-A-Go Go,Yes,No,3.9,Waffles,400
Cross Road Cafe,Yes,No,3.9,"Momos, Burgers, Rolls, Sandwich, Hot Chocolate, Tea, Naga Thali",300
Anand Donne Biriyani,Yes,No,3.6,Unknown,200
Seven Star,Yes,No,3.4,Unknown,250
Stop 'N' Joy,Yes,No,3.8,Unknown,150
Sri Yaksha Shiv Sagar,Yes,No,3.6,Unknown,600
Fudge,Yes,No,3.8,Unknown,200
Just Bunny,Yes,No,3.5,Unknown,200
Bakers Town,Yes,No,3.8,"Freak Shake, Fries, Pasta Alfredo",650
Shree Mahalakshmi Sweets,Yes,No,3.2,"Mysore Pak, Samosa",100
Kaapi Kendra,Yes,No,3.7,Unknown,100
Ivy,Yes,No,3.8,"Butter Chicken, Chicken Grill, Tandoori Chicken, Noodles, Biryani, Fried Rice Chicken",600
The Airos,Yes,No,4.1,"Pizza, Pasta, Nachos, Burgers, Sandwich, Tea, Cheese Balls",650
Chai Kraft,Yes,No,4.1,"Masala Chai, Coffee, Masala Tea, Maggi",100
South Point Pub,Yes,No,3.4,Unknown,800
The Trundle,Yes,No,3.7,"Salad, Mocktails, Chocolava, Pesto Pasta, Momos, Jasmine Rice, Tom Yum Soup",700
The Krishna Grand Xpress,Yes,No,4.0,"Vada, Masala Dosa, Idli",350
Sri Krishna Darshini,Yes,No,3.1,Unknown,200
Shringar Sweets & Snacks,Yes,No,3.5,Unknown,200
Udupi Grand,Yes,No,3.8,"Coffee, Masala Dosa, Vegetable Biryani",300
Ganesh Grand,Yes,No,3.7,Unknown,300
Shreyas Upahar & Burger Point,Yes,No,3.0,Unknown,200
